ID,Americas,EU,APAC,"missing
completely",Dupes,Database,,Schema,Type,Name,"comments
in column
AF?","# queries
","# users
","storage
in GB","mapped
AURORA
source product","mapped
AURORA
data product",comments,Data Model Availability,UAT Start Date,Go-live Date,,PRE-FILTER
ENRICH;BV_VEEVA_CRM_RECORDTYPE_EC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_RECORDTYPE_EC1,yes,36475,25,0.001,Vault CRM,will not be covered by Aurora,GB: Vault does not work with RTs anymore,,,,,Veeva
ANALYTICS;DIM_VAULT_PRODUCT,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_VAULT_PRODUCT,yes,35627,23,0.001,Vault,,Should be product DP 4.0,,,,,Veeva
MODEL;S_CVENT_EVENT_CUSTOMFIELDDETAIL,0,0,0,1,,CPH_DB_PROD,,MODEL,BASE TABLE,S_CVENT_EVENT_CUSTOMFIELDDETAIL,no,35520,12,0.109,Cvent,,,,,,,CVENT
ENRICH;BV_VEEVA_CRM_ACCOUNT_PC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ACCOUNT_PC1,no,35351,27,9.992,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ANALYTICS;DIM_PRODUCT,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_PRODUCT,no,35135,208,0.019,Vault CRM,Product 1.0 (Vault CRM),,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_VAULT_REGION__C,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_VAULT_REGION__C,no,35024,14,0,Vault CRM,,,,,,,Veeva
ANALYTICS;FACT_CALL,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,FACT_CALL,no,33753,176,83.486,Vault CRM,Calls incl. Time off Territory 1.0 (Vault CRM),,Available,8/25/25,9/15/25,,Veeva
MODEL;S_VEV_SAMPLE_ORDER_TRANSACTION,0,0,0,1,,CPH_DB_PROD,,MODEL,BASE TABLE,S_VEV_SAMPLE_ORDER_TRANSACTION,no,31825,9,2.421,Vault CRM,,,,,,,Veeva
MODEL;S_VAULT_IMCM_COUNTRY,0,0,0,1,,CPH_DB_PROD,,MODEL,BASE TABLE,S_VAULT_IMCM_COUNTRY,no,28704,15,0,Vault,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_GROUP_EC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_GROUP_EC1,no,28101,7,0.014,Vault CRM,,,,,,,Veeva
